id,server_service_id,metric_name,threshold_min,threshold_max,is_active
1,1,"cpu_usage",0.00,85.00,1
2,2,"cpu_usage",0.00,90.00,1
3,3,"disk_io",0.00,500.00,1
4,4,"ram_usage",0.00,80.00,0
5,5,"response_time",0.00,200.00,1
6,6,"error_rate",0.00,5.00,1
7,7,"cpu_usage",0.00,75.00,1
8,8,"ram_usage",0.00,85.00,1
9,9,"connections",0.00,1000.00,1
10,10,"packet_loss",0.00,2.00,1
11,11,"cache_hit_ratio",50.00,100.00,1
12,12,"memory_usage",0.00,90.00,0
13,13,"queue_depth",0.00,5000.00,1
14,14,"lag_ms",0.00,1000.00,1
15,15,"ingest_rate",0.00,10000.00,1
16,16,"index_latency",0.00,500.00,0
17,17,"dns_queries",0.00,50000.00,1
18,18,"resolution_time",0.00,100.00,1
19,19,"storage_used",0.00,80.00,1
20,20,"bandwidth",0.00,1000.00,1
21,21,"pod_restarts",0.00,3.00,1
22,22,"etcd_latency",0.00,50.00,1
23,23,"consul_checks",0.00,10.00,1
24,24,"auth_failures",0.00,5.00,1
25,25,"ticket_latency",0.00,200.00,1
26,26,"agent_uptime",90.00,100.00,1
27,27,"log_volume",0.00,5000.00,0
28,28,"shipper_errors",0.00,10.00,1
29,29,"build_duration",0.00,600.00,1
30,30,"repo_size",0.00,50000.00,0
31,31,"vault_seals",0.00,1.00,1
32,32,"radius_timeouts",0.00,5.00,1
33,33,"ldap_binds",0.00,1000.00,1
34,34,"kerberos_tickets",0.00,500.00,1
35,35,"ci_queue",0.00,50.00,1
36,36,"artifact_count",0.00,10000.00,1
37,37,"sonar_issues",0.00,100.00,1
38,38,"jira_tickets",0.00,500.00,1
39,39,"haproxy_sessions",0.00,2000.00,1
40,40,"vrrp_state",0.00,1.00,1
41,41,"es_heap",0.00,75.00,1
42,42,"logstash_queue",0.00,1000.00,1
43,43,"kafka_lag",0.00,5000.00,1
44,44,"rabbit_conns",0.00,500.00,1
45,45,"gluster_bricks",0.00,10.00,1
46,46,"nfs_latency",0.00,50.00,0
47,47,"snmp_errors",0.00,20.00,1
48,48,"syslog_drops",0.00,100.00,1
49,49,"ntp_offset",0.00,50.00,1
50,50,"smtp_queue",0.00,200.00,1
