id,team_id,target_uptime_pct,measurement_period_days
1,1,99.90,30
2,2,99.50,30
3,3,99.95,60
4,4,99.80,30
5,5,99.99,90
6,6,99.70,30
7,7,99.85,60
8,8,99.60,30
9,9,99.40,30
10,10,99.75,60
11,11,99.30,30
12,12,99.50,30
13,13,99.80,90
14,14,99.90,60
15,15,99.65,30
16,16,99.85,30
17,17,99.70,60
18,18,99.55,30
19,19,99.40,30
20,20,99.60,60
21,21,99.75,30
22,22,99.50,30
23,23,99.90,90
24,24,99.65,30
25,25,99.80,60
26,26,99.70,30
27,27,99.55,30
28,28,99.45,60
29,29,99.60,30
30,30,99.75,30
31,31,99.85,60
32,32,99.50,30
33,33,99.70,30
34,34,99.65,60
35,35,99.80,30
36,36,99.90,90
37,37,99.55,30
38,38,99.75,60
39,39,99.60,30
40,40,99.85,30
41,41,99.95,60
42,42,99.70,30
43,43,99.65,30
44,44,99.50,60
45,45,99.80,30
46,46,99.75,30
47,47,99.60,60
48,48,99.55,30
49,49,99.40,30
50,50,99.90,90
