id,setting_key,setting_value,updated_at,updated_by_user_id
1,"alert_email_enabled","true","2026-02-01 10:00:00",1
2,"alert_slack_webhook","https://hooks.slack.com/mock","2026-02-02 10:00:00",2
3,"metrics_retention_days","30","2026-02-03 10:00:00",3
4,"log_retention_days","60","2026-02-04 10:00:00",4
5,"default_timezone","Europe/Moscow","2026-02-05 10:00:00",5
6,"max_login_attempts","5","2026-02-06 10:00:00",6
7,"session_timeout_min","30","2026-02-07 10:00:00",7
8,"password_min_length","12","2026-02-08 10:00:00",8
9,"enable_2fa","true","2026-02-09 10:00:00",9
10,"api_rate_limit","1000","2026-02-10 10:00:00",10
11,"dashboard_refresh_sec","15","2026-02-11 10:00:00",11
12,"export_format_default","csv","2026-02-12 10:00:00",12
13,"maintenance_notification","true","2026-02-13 10:00:00",13
14,"sla_calculation_method","rolling","2026-02-14 10:00:00",14
15,"incident_auto_close_hours","72","2026-02-15 10:00:00",15
16,"alert_cooldown_min","10","2026-02-16 10:00:00",16
17,"max_concurrent_exports","3","2026-02-17 10:00:00",17
18,"ui_theme_default","dark","2026-02-18 10:00:00",18
19,"language_default","ru","2026-02-19 10:00:00",19
20,"backup_schedule","0 2 * * *","2026-02-20 10:00:00",20
21,"audit_log_enabled","true","2026-02-21 10:00:00",21
22,"ip_whitelist_enabled","false","2026-02-22 10:00:00",22
23,"smtp_host","smtp.infrawatch.local","2026-02-23 10:00:00",23
24,"smtp_port","587","2026-02-24 10:00:00",24
25,"smtp_tls","true","2026-02-25 10:00:00",25
26,"ldap_server","ldap.infrawatch.local","2026-02-26 10:00:00",26
27,"ldap_base_dn","dc=infrawatch,dc=local","2026-02-27 10:00:00",27
28,"sso_enabled","false","2026-02-28 10:00:00",28
29,"webhook_retry_count","3","2026-03-01 10:00:00",29
30,"max_dashboard_widgets","12","2026-03-02 10:00:00",30
31,"chart_interpolation","linear","2026-03-03 10:00:00",31
32,"data_sampling_rate","10s","2026-03-04 10:00:00",32
33,"alert_sound_enabled","true","2026-03-05 10:00:00",33
34,"mobile_push_enabled","false","2026-03-06 10:00:00",34
35,"incident_escalation_min","15","2026-03-07 10:00:00",35
36,"sla_report_recipients","ops@infrawatch.local","2026-03-08 10:00:00",36
37,"csv_delimiter",",","2026-03-09 10:00:00",37
38,"date_format","YYYY-MM-DD","2026-03-10 10:00:00",38
39,"time_format","HH:mm:ss","2026-03-11 10:00:00",39
40,"max_query_timeout_sec","30","2026-03-12 10:00:00",40
41,"cache_ttl_sec","300","2026-03-13 10:00:00",41
42,"ui_pagination_size","25","2026-03-14 10:00:00",42
43,"auto_refresh_graphs","true","2026-03-15 10:00:00",43
44,"show_deprecated_metrics","false","2026-03-16 10:00:00",44
45,"alert_digest_hour","8","2026-03-17 10:00:00",45
46,"maintenance_blackout","false","2026-03-18 10:00:00",46
47,"log_level","info","2026-03-19 10:00:00",47
48,"db_pool_size","20","2026-03-20 10:00:00",48
49,"http_proxy_enabled","false","2026-03-21 10:00:00",49
50,"system_version","2.4.1","2026-03-22 10:00:00",50
